MONTH,NORAD_CAT_ID,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,COUNT
01,7222440,83422.73999999999,20440.20000000001,2451241.0,795394.0,2665.589700000001,376
02,9239226,147465.88999999998,23682.430000000015,3935720.0,1241697.0,3080.8213999999994,462
03,9507539,148723.1299999999,26641.840000000007,4486326.0,1468024.0,3102.4865000000013,502
04,9651767,162941.96999999997,28786.76999999999,4304025.0,1097582.0,3571.6362999999997,523
05,8980751,114985.12999999995,25350.450000000026,3617143.0,1032046.0,3480.244600000001,473
06,10729994,138221.1699999999,30353.860000000004,3984114.0,1419108.0,3460.205300000001,557
07,10171628,156368.00000000006,29417.190000000035,4366883.0,1050342.0,3382.0832999999993,521
08,10263784,126571.22999999992,27230.52,3978260.0,1030163.0,4094.8399000000004,541
09,11360196,124229.82,30350.88000000001,3484635.0,1278316.0,3835.8557999999966,550
10,11762940,191748.9,31674.220000000005,5107552.0,1603108.0,3911.3277999999996,603
11,10706375,152990.08000000005,25824.830000000005,4358622.0,1440529.0,2926.5512999999996,498
12,14533526,222191.41000000027,36697.060000000005,5916182.0,2116726.0,4697.017299999997,688
